Station Name,Measurement Timestamp,Air Temperature,wind
63rd Street Weather Station,07/04/2015 08:00:00 AM,20.80,2.7
63rd Street Weather Station,07/04/2015 09:00:00 AM,22.60,3.1
63rd Street Weather Station,07/04/2015 10:00:00 AM,21.50,4.5
63rd Street Weather Station,07/04/2015 11:00:00 AM,22.00,4
63rd Street Weather Station,07/04/2015 12:00:00 PM,21.20,8.5
63rd Street Weather Station,07/04/2015 01:00:00 PM,21.00,8
63rd Street Weather Station,07/04/2015 02:00:00 PM,21.20,4.9
63rd Street Weather Station,07/04/2015 03:00:00 PM,21.80,8.5
63rd Street Weather Station,07/04/2015 04:00:00 PM,22.00,8.5
63rd Street Weather Station,07/04/2015 05:00:00 PM,21.30,8.5
63rd Street Weather Station,07/04/2015 06:00:00 PM,21.40,8.5
63rd Street Weather Station,07/04/2015 07:00:00 PM,21.10,4.9
63rd Street Weather Station,07/04/2015 08:00:00 PM,20.60,8.5
63rd Street Weather Station,07/04/2015 09:00:00 PM,20.40,4
63rd Street Weather Station,07/04/2015 10:00:00 PM,21.00,3.1
63rd Street Weather Station,07/04/2015 11:00:00 PM,21.00,8
63rd Street Weather Station,07/04/2015 12:00:00 AM,17.80,6.3
63rd Street Weather Station,07/05/2015 03:00:00 AM,20.20,7.6
63rd Street Weather Station,07/05/2015 04:00:00 AM,19.80,2.7
63rd Street Weather Station,07/05/2015 05:00:00 AM,19.20,1.8
63rd Street Weather Station,07/05/2015 06:00:00 AM,19.30,1.8
63rd Street Weather Station,07/05/2015 07:00:00 AM,20.50,1.8
63rd Street Weather Station,07/05/2015 08:00:00 AM,22.90,0.9
63rd Street Weather Station,07/05/2015 09:00:00 AM,24.30,1.3
63rd Street Weather Station,07/05/2015 10:00:00 AM,22.30,5.4
63rd Street Weather Station,07/05/2015 11:00:00 AM,22.10,3.6
63rd Street Weather Station,07/05/2015 12:00:00 PM,23.70,1.3
63rd Street Weather Station,07/05/2015 01:00:00 PM,23.30,1.8
63rd Street Weather Station,07/05/2015 02:00:00 PM,23.20,2.2
63rd Street Weather Station,07/05/2015 04:00:00 PM,22.80,4.9
63rd Street Weather Station,07/05/2015 05:00:00 PM,23.30,2.7
63rd Street Weather Station,07/05/2015 06:00:00 PM,22.80,4.9
63rd Street Weather Station,07/05/2015 07:00:00 PM,22.00,5.4
63rd Street Weather Station,07/05/2015 08:00:00 PM,21.80,4.5
63rd Street Weather Station,07/05/2015 09:00:00 PM,21.90,4.5
63rd Street Weather Station,07/05/2015 10:00:00 PM,21.60,4.9
63rd Street Weather Station,07/05/2015 11:00:00 PM,23.50,2.2
63rd Street Weather Station,07/05/2015 12:00:00 AM,20.70,5.4
63rd Street Weather Station,07/06/2015 01:00:00 AM,22.80,3.6
63rd Street Weather Station,07/06/2015 02:00:00 AM,22.30,1.8
63rd Street Weather Station,07/06/2015 03:00:00 AM,21.90,2.2
63rd Street Weather Station,07/06/2015 04:00:00 AM,21.20,2.7
63rd Street Weather Station,07/06/2015 05:00:00 AM,21.10,1.8
63rd Street Weather Station,07/06/2015 06:00:00 AM,20.90,6.3
63rd Street Weather Station,07/06/2015 07:00:00 AM,21.30,4.9
63rd Street Weather Station,07/06/2015 08:00:00 AM,22.80,1.8
63rd Street Weather Station,07/06/2015 09:00:00 AM,24.60,2.7
63rd Street Weather Station,07/06/2015 10:00:00 AM,26.00,5.8
63rd Street Weather Station,07/06/2015 11:00:00 AM,27.30,4.9
63rd Street Weather Station,07/06/2015 12:00:00 PM,27.70,2.2
63rd Street Weather Station,07/06/2015 01:00:00 PM,28.30,6.3
63rd Street Weather Station,07/06/2015 02:00:00 PM,29.30,7.2
63rd Street Weather Station,07/06/2015 03:00:00 PM,29.70,4
63rd Street Weather Station,07/06/2015 04:00:00 PM,23.10,4
63rd Street Weather Station,07/06/2015 05:00:00 PM,22.80,2.7
63rd Street Weather Station,07/06/2015 06:00:00 PM,27.00,1.8
63rd Street Weather Station,07/06/2015 07:00:00 PM,26.90,3.1
63rd Street Weather Station,07/06/2015 08:00:00 PM,26.10,3.1
63rd Street Weather Station,07/06/2015 09:00:00 PM,26.00,2.2
63rd Street Weather Station,07/06/2015 10:00:00 PM,23.20,1.8
63rd Street Weather Station,07/06/2015 11:00:00 PM,22.60,4
63rd Street Weather Station,07/06/2015 12:00:00 AM,23.20,3.1
63rd Street Weather Station,07/07/2015 01:00:00 AM,22.60,4.5
63rd Street Weather Station,07/07/2015 02:00:00 AM,22.50,2.2
63rd Street Weather Station,07/07/2015 03:00:00 AM,22.50,3.1
63rd Street Weather Station,07/07/2015 04:00:00 AM,22.20,5.4
63rd Street Weather Station,07/07/2015 05:00:00 AM,16.10,1.8
63rd Street Weather Station,07/07/2015 06:00:00 AM,15.60,2.2
63rd Street Weather Station,07/07/2015 07:00:00 AM,15.00,2.2
63rd Street Weather Station,07/07/2015 08:00:00 AM,14.30,2.2
63rd Street Weather Station,07/07/2015 09:00:00 AM,15.20,1.8
63rd Street Weather Station,07/07/2015 10:00:00 AM,15.10,2.2
63rd Street Weather Station,07/07/2015 11:00:00 AM,15.80,2.2
63rd Street Weather Station,07/07/2015 12:00:00 PM,15.90,1.8
63rd Street Weather Station,07/07/2015 01:00:00 PM,16.10,4.5
63rd Street Weather Station,07/07/2015 02:00:00 PM,16.40,4.9
63rd Street Weather Station,07/07/2015 03:00:00 PM,16.00,3.1
63rd Street Weather Station,07/07/2015 04:00:00 PM,16.30,2.2
63rd Street Weather Station,07/07/2015 05:00:00 PM,16.00,3.6
63rd Street Weather Station,07/07/2015 06:00:00 PM,16.10,4.5
63rd Street Weather Station,07/07/2015 07:00:00 PM,16.30,3.6
63rd Street Weather Station,07/07/2015 08:00:00 PM,16.00,3.6
63rd Street Weather Station,07/07/2015 09:00:00 PM,15.70,6.3
63rd Street Weather Station,07/07/2015 10:00:00 PM,15.50,3.6
63rd Street Weather Station,07/07/2015 11:00:00 PM,15.70,2.7
63rd Street Weather Station,07/07/2015 12:00:00 AM,22.70,2.2
63rd Street Weather Station,07/08/2015 01:00:00 AM,15.80,4.9
63rd Street Weather Station,07/08/2015 02:00:00 AM,15.40,4.9
63rd Street Weather Station,07/08/2015 03:00:00 AM,15.20,3.6
63rd Street Weather Station,07/08/2015 04:00:00 AM,15.20,2.7
63rd Street Weather Station,07/08/2015 05:00:00 AM,15.70,2.2
63rd Street Weather Station,07/08/2015 06:00:00 AM,16.00,2.2
63rd Street Weather Station,07/08/2015 07:00:00 AM,16.00,4
63rd Street Weather Station,07/08/2015 08:00:00 AM,16.00,3.1
63rd Street Weather Station,07/08/2015 09:00:00 AM,16.30,2.2
63rd Street Weather Station,07/08/2015 10:00:00 AM,16.70,2.7
63rd Street Weather Station,07/08/2015 11:00:00 AM,16.40,3.1
63rd Street Weather Station,07/08/2015 12:00:00 PM,16.30,5.4
63rd Street Weather Station,07/08/2015 01:00:00 PM,16.20,3.6
63rd Street Weather Station,07/08/2015 02:00:00 PM,16.40,4.9
63rd Street Weather Station,07/08/2015 03:00:00 PM,16.70,7.6
63rd Street Weather Station,07/08/2015 04:00:00 PM,16.40,7.6
63rd Street Weather Station,07/08/2015 05:00:00 PM,16.60,4
63rd Street Weather Station,07/08/2015 06:00:00 PM,16.60,0.9
63rd Street Weather Station,07/08/2015 07:00:00 PM,16.70,2.7
63rd Street Weather Station,07/08/2015 08:00:00 PM,16.70,4
63rd Street Weather Station,07/08/2015 09:00:00 PM,17.00,4.9
63rd Street Weather Station,07/08/2015 10:00:00 PM,17.40,2.2
63rd Street Weather Station,07/08/2015 11:00:00 PM,18.00,2.2
63rd Street Weather Station,07/08/2015 12:00:00 AM,15.80,5.8
63rd Street Weather Station,07/09/2015 01:00:00 AM,17.40,0.9
63rd Street Weather Station,07/09/2015 02:00:00 AM,17.30,7.2
63rd Street Weather Station,07/09/2015 03:00:00 AM,17.20,2.7
63rd Street Weather Station,07/09/2015 04:00:00 AM,16.80,1.8
63rd Street Weather Station,07/09/2015 05:00:00 AM,16.40,2.7
63rd Street Weather Station,07/09/2015 06:00:00 AM,16.50,4.5
63rd Street Weather Station,07/09/2015 07:00:00 AM,15.60,2.2
63rd Street Weather Station,07/09/2015 08:00:00 AM,15.80,5.4
63rd Street Weather Station,07/09/2015 09:00:00 AM,16.40,5.4
63rd Street Weather Station,07/09/2015 10:00:00 AM,17.00,3.1
63rd Street Weather Station,07/09/2015 11:00:00 AM,17.60,3.1
63rd Street Weather Station,07/09/2015 12:00:00 PM,17.90,6.3
63rd Street Weather Station,07/09/2015 01:00:00 PM,18.20,2.7
63rd Street Weather Station,07/09/2015 02:00:00 PM,17.70,4
63rd Street Weather Station,07/09/2015 03:00:00 PM,17.30,7.6
63rd Street Weather Station,07/09/2015 04:00:00 PM,17.40,1.8
63rd Street Weather Station,07/09/2015 05:00:00 PM,17.70,1.8
63rd Street Weather Station,07/09/2015 06:00:00 PM,18.60,4.9
